"M 0-19","M 20-39","M 40-59","M 60-79","M 80+","F 0-19","F 20-39","F 40-59","F 60-79","F 80+"
2.045,0.534,0.389,0.138,0.032,1.96,0.508,0.386,0.16,0.071
0.63,1.404,0.807,0.322,0.057,0.604,1.335,0.799,0.375,0.127
0.555,0.756,1.144,0.324,0.064,0.532,0.719,1.134,0.376,0.144
0.233,0.271,0.446,0.862,0.221,0.223,0.258,0.442,1.001,0.496
0.603,1.06,2.105,4.388,2.179,0.957,1.008,2.086,5.099,4.894
2.045,0.534,0.389,0.138,0.032,1.96,0.508,0.386,0.16,0.071
0.63,1.404,0.807,0.322,0.057,0.604,1.335,0.799,0.375,0.127
0.555,0.756,1.144,0.324,0.064,0.532,0.719,1.134,0.376,0.144
0.233,0.271,0.446,0.862,0.221,0.223,0.258,0.442,1.001,0.496
0.999,1.06,2.105,4.388,2.179,0.957,1.008,2.086,5.099,4.894
