"M 0-19","M 20-39","M 40-59","M 60-79","M 80+","F 0-19","F 20-39","F 40-59","F 60-79","F 80+"
0.96,0.25,0.182,0.064,0.014,0.92,0.238,0.18,0.076,0.034
0.318,0.708,0.408,0.162,0.028,0.304,0.674,0.404,0.188,0.064
0.318,0.434,0.658,0.186,0.036,0.306,0.412,0.65,0.216,0.082
0.084,0.096,0.16,0.308,0.078,0.08,0.092,0.158,0.358,0.178
0.034,0.058,0.116,0.242,0.12,0.052,0.056,0.114,0.282,0.27
0.92,0.24,0.176,0.062,0.014,0.882,0.228,0.174,0.072,0.032
0.302,0.674,0.388,0.154,0.028,0.29,0.642,0.384,0.18,0.06
0.316,0.43,0.65,0.184,0.036,0.302,0.41,0.646,0.214,0.082
0.096,0.112,0.186,0.358,0.092,0.092,0.106,0.184,0.416,0.206
0.124,0.132,0.26,0.544,0.27,0.118,0.124,0.258,0.632,0.606
